"gender","genderID","ethnicity","citizen","English","Exam1","Exam2","attraction","Muslim","religious","conservative_self","conservative_parents","sexualOrientation","familyKnowsSexualOrientation","age_sexual_orientation","changeSexualOrientation","sameSexExperience","dateTransgender","MFS_self","MFS_present","MFS_attraction","gayFeelings","lesbianFeelings","sexPartners","relationship","sexInSeriousRelationship","seriousSex","sexBeforeMarriage","children","abortion","bed","birthMonth","TProll","TPconfig","foodPreference","burgers","InnocentVsGuilty","sexVsLove","attendance","version"
"Female","Female","Hispanic","Yes","No",95,90,0,"No",0,1,9,"straight","Yes",15,"No","No","Yes",5,5,9,0,0,1,1,4,9,"Yes - I already have",4,"Neutral","No","June","Under","FOLD","Burger King","Mcdonalds","Innocent Executed","No Sex","funeral",2
"Female","Female","East Asian","No","No",86,95,30,"Uncertain",3,5,4,"straight","Yes",16,"Yes","Yes","No",1,0,8,5,5,1,2,8,8,"Yes - I already have",2,"Legal most of the time","Yes","August","Over","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Love","wedding",2
"Female","Female","South Asian","Yes","No",86,95,5,"No",7,2,3,"straight","Yes",9,"No","No","No",2,3,8,1,1,0,0,6,0,"Unsure",4,"Legal most of the time","Yes","January","Over","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","funeral",2
"Male","Male","East Asian","No","No",92,97,5,"Yes",3,4,4,"straight","Yes",12,"No","No","No",6,8,2,8,8,0,1,5,4,"Yes - I would",1,"Illegal most of the time","Yes","January","Over","FOLD","Burger King","Burger King","Innocent Executed","No Sex","wedding",2
"Female","Female","East Asian","No","No",83,89,5,"Uncertain",6,5,5,"straight","Yes",12,"No","No","No",8,7,3,0,2,2,3,7,8,"Yes - I already have",2,"Always Legal","No","May","Over","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","funeral",1
"Male","Male","White","Yes","Yes",79,82,20,"No",7,0,4,"gay/lesbian","Yes",5,"No","No","Yes",5,5,1,0,0,30,2,7,9,"Yes - I already have",9,"Always Legal","No","July","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",1
"Female","Female","Hispanic","Yes","No",86,89,5,"No",5,3,5,"straight","Yes",2,"No","No","No",5,5,5,0,0,1,0,10,0,"Yes - I already have",6,"Always Legal","No","June","Under","WAD","Mcdonalds","Burger King","Guilty Free","No Love","funeral",1
"Male","Male","East Asian","No","No",80,79,45,"Uncertain",2,5,9,"straight","Yes",2,"No","No","Yes",5,7,3,0,0,1,0,9,7,"Yes - I would",3,"Always Illegal","Yes","April","Over","FOLD","Burger King","Burger King","Guilty Free","No Love","funeral",2
"Female","Female","Hispanic","Yes","No",90,85,5,"No",5,5,5,"straight","Yes",13,"No","No","No",2,2,10,10,10,5,0,7,5,"Yes - I already have",1,"Always Legal","Yes","September","Under","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Love","wedding",2
"Female","Female","Black","Yes","Yes",77,83,5,"No",1,0,0,"straight","Yes",3,"No","No","No",5,5,10,0,0,5,3,6,10,"Yes - I already have",1,"Neutral","Yes","August","Under","WAD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","funeral",2
"Male","Male","East Asian","No","No",92,97,0,"Yes",1,3,4,"straight","Yes",2,"No","No","No",6,5,8,5,8,0,0,7,6,"Yes - I would",2,"Always Legal","No","August","Over","FOLD","Burger King","Burger King","Innocent Executed","No Love","wedding",1
"Male","Male","East Asian","No","No",92,100,0,"Uncertain",0,7,8,"straight","Yes",7,"No","No","No",5,5,5,0,6,0,0,10,8,"Unsure",1,"Legal most of the time","No","December","Over","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","funeral",2
"Female","Female","East Asian","No","No",91,97,0,"Uncertain",2,3,3,"gay/lesbian","No",18,"No","Yes","No",5,5,8,0,0,1,3,8,5,"Yes - I already have",2,"Illegal most of the time","Yes","March","Over","WAD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","wedding",1
"Female","Female","White","Yes","Yes",94,95,40,"Yes",6,6,7,"straight","Yes",6,"No","No","No",0,1,10,10,5,4,2,8,10,"Yes - I already have",2,"Legal most of the time","Yes","May","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","funeral",2
"Male","Male","East Asian","No","No",98,92,30,"No",0,5,8,"straight","Yes",13,"No","No","No",3,5,8,5,5,2,1,10,5,"Yes - I already have",1,"Neutral","No","December","Over","FOLD","Burger King","Burger King","Guilty Free","No Love","funeral",1
"Female","Female","White","Yes","Yes",85,96,30,"Uncertain",6,2,2,"straight","Yes",5,"No","No","No",9,9,2,0,0,0,2,8,10,"Yes - I would",3,"Always Legal","Yes","July","No preference","WAD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",1
"Male","Male","East Asian","No","No",97,93,0,"Uncertain",3,6,4,"straight","Yes",2,"No","No","No",8,9,0,5,5,1,1,10,10,"Yes - I already have",2,"Always Legal","Yes","October","Over","FOLD","Burger King","Burger King","Guilty Free","No Sex","funeral",2
"Female","Female","White","Yes","Yes",84,94,35,"No",1,0,4,"straight","Yes",10,"No","No","Yes",2,3,8,0,0,0,0,6,3,"Yes - I would",3,"Always Legal","Yes","February","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","wedding",2
"Female","Female","White","Yes","Yes",69,62,20,"Uncertain",3,4,7,"bi","No",14,"No","No","Yes",2,2,5,0,0,0,0,3,1,"Unsure",0,"Always Legal","Yes","August","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","wedding",2
"Male","Male","Black","Yes","Yes",79,87,5,"No",3,3,3,"straight","Yes",12,"No","No","No",3,3,5,0,0,1,1,5,3,"Yes - I already have",2,"Legal most of the time","Yes","February","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Love","wedding",1
"Male","Male","East Asian","Yes","Yes",95,95,30,"No",6,5,8,"straight","Yes",3,"No","No","No",9,9,0,5,5,5,2,8,8,"Yes - I already have",2,"Always Legal","No","June","Under","FOLD","Mcdonalds","Burger King","Guilty Free","No Love","funeral",2
"Female","Female","East Asian","No","No",91,95,25,"No",0,3,3,"straight","Yes",15,"No","No","No",0,0,0,2,1,3,0,2,2,"Yes - I would",2,"Neutral","No","October","Over","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Love","funeral",2
"Female","Female","Hispanic","Yes","Yes",91,96,30,"No",0,3,4,"straight","Yes",10,"No","No","No",3,3,9,0,0,2,2,5,7,"Yes - I already have",2,"Always Legal","No","October","Under","WAD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","funeral",2
"Male","Male","White","No","No",89,88,30,"Uncertain",0,3,3,"straight","Yes",10,"No","No","No",2,2,8,0,0,6,1,8,2,"Yes - I already have",2,"Always Legal","Yes","August","Over","FOLD","Burger King","Burger King","Guilty Free","No Sex","wedding",1
"Female","Female","Black","Yes","Yes",56,62,30,"Uncertain",7,4,5,"straight","Yes",5,"No","Yes","No",10,10,0,5,5,5,2,10,2,"Yes - I already have",3,"Always Legal","Yes","February","Under","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","funeral",1
"Female","Female","East Asian","No","No",86,97,0,"Uncertain",0,4,5,"straight","Yes",13,"No","No","No",6,4,3,3,5,0,0,3,8,"Unsure",2,"Always Legal","No","April","No preference","WAD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",1
"Male","Male","East Asian","No","No",13,13,60,"Uncertain",8,6,4,"straight","Yes",12,"No","No","No",6,7,3,6,6,0,2,5,10,"No",2,"Illegal most of the time","No","April","Under","FOLD","Burger King","Mcdonalds","Innocent Executed","No Sex","wedding",2
"Male","Male","East Asian","No","No",89,95,5,"No",0,2,8,"straight","No",10,"No","No","No",3,3,5,2,1,2,1,10,8,"Yes - I already have",2,"Neutral","Yes","September","Under","FOLD","Burger King","Burger King","Guilty Free","No Love","wedding",1
"Female","Female","White","Yes","Yes",96,95,10,"No",5,3,4,"straight","Yes",8,"No","No","No",6,7,2,0,0,0,0,5,7,"No",2,"Always Legal","No","January","No preference","WAD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",1
"Male","Male","White","Yes","Yes",84,86,15,"No",3,8,8,"straight","Yes",8,"No","No","No",7,8,4,3,3,0,0,7,7,"Yes - I would",2,"Illegal most of the time","No","September","Over","FOLD","Burger King","Burger King","Guilty Free","No Sex","wedding",2
"Female","Female","White","Yes","Yes",91,94,25,"No",3,0,7,"straight","Yes",10,"No","No","No",9,8,0,0,0,0,1,5,3,"Yes - I would",0,"Always Legal","No","July","Under","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","wedding",1
"Female","Female","White","Yes","Yes",90,91,5,"No",2,0,0,"straight","Yes",8,"No","Yes","No",3,3,7,0,0,26,3,5,10,"Yes - I already have",2,"Always Legal","Yes","July","Over","WAD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",2
"Male","Female","South Asian","Yes","Yes",70,88,20,"No",1,1,5,"straight","Yes",12,"No","No","No",7,7,2,0,0,2,0,8,3,"Yes - I already have",2,"Always Legal","Yes","June","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","funeral",2
"Female","Female","White","Yes","Yes",80,75,35,"No",0,0,2,"straight","Yes",2,"No","No","No",0,0,10,0,0,5,2,5,1,"Yes - I already have",2,"Always Legal","No","August","Under","WAD","Burger King","Burger King","Innocent Executed","No Sex","funeral",2
"Female","Female","White","Yes","Yes",88,85,25,"Uncertain",5,5,5,"straight","Yes",2,"No","No","No",8,6,3,3,6,1,1,5,8,"Yes - I already have",4,"Illegal most of the time","No","February","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",1
"Female","Female","White","Yes","Yes",93,99,10,"Uncertain",1,2,5,"bi","No",15,"No","Yes","No",1,1,7,0,0,9,5,5,4,"Yes - I already have",2,"Legal most of the time","No","February","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","funeral",2
"Female","Female","Hispanic","Yes","Yes",68,82,25,"No",0,1,3,"straight","Yes",15,"No","No","No",4,5,10,0,0,0,0,2,3,"Yes - I would",2,"Always Legal","No","July","Under","WAD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","wedding",2
"Male","Male","South Asian","No","No",63,46,25,"Uncertain",0,3,5,"straight","No",5,"No","No","No",3,2,6,4,7,10,4,5,3,"Yes - I already have",0,"Neutral","No","May","Under","WAD","Burger King","Mcdonalds","Innocent Executed","No Love","wedding",2
"Female","Female","East Asian","Yes","No",82,94,10,"No",0,0,6,"straight","Yes",4,"No","No","No",8,8,2,0,0,2,2,8,2,"Yes - I already have",3,"Always Legal","No","December","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","wedding",1
"Male","Male","East Asian","No","No",82,83,10,"Uncertain",0,2,5,"straight","Yes",14,"No","No","No",0,0,10,0,0,4,4,8,8,"Yes - I already have",2,"Always Legal","Yes","July","Over","FOLD","Burger King","Mcdonalds","Innocent Executed","No Sex","wedding",1
"Male","Male","White","Yes","Yes",90,93,50,"Uncertain",2,2,6,"bi","Some do",14,"No","Yes","Yes",7,7,7,0,0,0,1,3,9,"Unsure",2,"Legal most of the time","No","February","Over","WAD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",2
"Male","Male","White","Yes","Yes",96,95,10,"No",0,3,2,"straight","Yes",3,"No","No","No",2,2,8,0,0,0,0,8,4,"Yes - I would",1,"Legal most of the time","No","June","Over","WAD","Mcdonalds","Burger King","Guilty Free","No Love","wedding",1
"Female","Female","Black","Yes","No",55,67,5,"No",7,8,10,"straight","Yes",8,"No","No","No",0,0,10,5,5,5,2,2,10,"Yes - I already have",3,"Neutral","Yes","October","Under","WAD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","funeral",2
"Female","Female","East Asian","Yes","Yes",95,96,0,"No",9,1,0,"straight","Yes",19,"No","Yes","No",8,7,0,6,6,0,2,1,10,"No",3,"Illegal most of the time","Yes","May","Over","WAD","Mcdonalds","Burger King","Guilty Free","No Sex","funeral",1
"Male","Male","White","Yes","Yes",85,93,15,"No",0,6,10,"straight","Yes",2,"No","Yes","No",6,7,3,0,0,10,3,10,0,"Yes - I already have",2,"Always Legal","No","May","Over","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","wedding",2
"Male","Male","White","Yes","Yes",68,75,35,"No",7,7,6,"straight","Yes",2,"No","No","No",3,2,10,0,0,0,0,9,0,"Yes - I would",4,"Always Legal","No","January","Over","WAD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","funeral",1
"Female","Female","White","Yes","Yes",87,90,40,"Uncertain",7,5,7,"straight","Yes",4,"No","No","No",6,8,3,9,5,0,0,6,8,"Yes - I would",3,"Neutral","No","October","Over","WAD","Mcdonalds","Burger King","Guilty Free","No Sex","funeral",1
"Female","Female","White","Yes","Yes",69,71,5,"No",9,1,4,"bi","Some do",8,"Yes","Yes","Yes",0,0,5,0,0,0,0,9,5,"Yes - I would",4,"Always Legal","Yes","December","Over","WAD","Mcdonalds","Burger King","Guilty Free","No Sex","wedding",2
"Male","Male","South Asian","Yes","Yes",92,96,10,"No",8,5,7,"straight","Yes",10,"No","No","No",2,1,1,8,3,2,1,6,9,"Yes - I already have",3,"Illegal most of the time","No","September","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Love","funeral",1
"Female","Female","White","Yes","Yes",98,89,40,"No",3,1,1,"bi","Yes",15,"No","Yes","Yes",2,2,5,0,0,50,6,3,2,"Yes - I already have",5,"Always Legal","No","September","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",2
"Female","Female","South Asian","Yes","No",98,100,5,"No",5,3,4,"straight","Yes",5,"No","No","No",5,7,7,0,0,0,0,0,0,"No",0,"Always Legal","Yes","December","Over","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","wedding",2
"Female","Female","White","Yes","Yes",57,86,30,"No",7,4,4,"straight","Yes",3,"No","No","No",2,2,8,5,5,1,0,8,9,"Yes - I already have",4,"Always Legal","No","July","Over","WAD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",2
"Female","Female","Hispanic","Yes","No",63,73,10,"Uncertain",7,2,3,"straight","Yes",12,"Yes","No","Yes",8,8,2,0,0,2,1,6,7,"Yes - I already have",3,"Always Legal","Yes","June","No preference","FOLD","Burger King","Burger King","Innocent Executed","No Sex","funeral",1
"Female","Female","South Asian","Yes","Yes",93,95,20,"No",6,1,5,"straight","Yes",10,"No","No","No",9,7,0,0,0,1,1,6,3,"Yes - I already have",2,"Always Legal","No","May","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","wedding",1
"Female","Female","White","Yes","Yes",91,86,20,"No",9,5,5,"straight","Yes",10,"No","No","No",2,2,8,5,5,0,1,3,8,"Unsure",2,"Legal most of the time","Yes","September","Under","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","funeral",2
"Male","Male","White","Yes","Yes",92,95,15,"Yes",4,7,7,"straight","Yes",5,"No","No","No",8,8,2,2,3,5,2,9,10,"Yes - I already have",2,"Neutral","No","January","Over","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","funeral",2
"Female","Female","Black","Yes","Yes",90,88,0,"No",9,3,5,"straight","Yes",4,"No","Yes","Yes",0,0,9,0,0,2,2,6,10,"Yes - I already have",4,"Always Legal","No","November","Over","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","funeral",2
"Female","Female","Hispanic","Yes","Yes",83,90,45,"No",2,5,5,"straight","Yes",3,"No","Yes","No",10,9,2,0,0,4,1,6,0,"Yes - I already have",3,"Always Legal","Yes","August","Over","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","funeral",1
"Female","Female","Black","Yes","Yes",73,76,40,"No",9,0,2,"straight","Yes",7,"No","No","No",9,9,3,0,0,0,0,5,5,"Unsure",4,"Illegal most of the time","No","February","Under","WAD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",1
"Male","Male","White","Yes","Yes",76,82,10,"Yes",8,7,8,"straight","Yes",2,"No","No","No",8,8,5,3,7,2,1,8,8,"Yes - I already have",3,"Illegal most of the time","No","July","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Love","funeral",2
"Female","Female","White","Yes","Yes",97,97,25,"No",7,1,5,"straight","Yes",2,"No","No","No",9,8,2,0,0,0,0,2,3,"Yes - I would",3,"Always Legal","Yes","December","Under","WAD","Mcdonalds","Burger King","Innocent Executed","No Sex","wedding",1
"Female","Female","Black","Yes","Yes",93,95,20,"No",3,5,5,"straight","Yes",9,"No","No","Yes",7,7,4,0,0,4,2,5,3,"Yes - I already have",3,"Always Legal","No","July","Over","WAD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",1
"Male","Male","East Asian","Yes","No",86,74,30,"Uncertain",2,2,7,"straight","Yes",12,"No","No","No",1,3,8,0,0,1,1,5,2,"Yes - I already have",2,"Always Legal","No","November","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","funeral",1
"Female","Female","Black","Yes","Yes",97,97,40,"No",8,2,5,"bi","Some do",12,"No","Yes","Yes",5,5,3,0,0,0,1,6,5,"Yes - I would",4,"Always Legal","No","March","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","wedding",1
"Female","Female","South Asian","Yes","No",91,91,0,"No",2,3,5,"straight","Yes",12,"No","No","No",9,9,3,0,0,1,0,7,3,"Yes - I already have",2,"Always Legal","No","January","Over","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Love","funeral",1
"Female","Female","Black","Yes","Yes",89,93,25,"No",6,4,6,"straight","Yes",7,"No","No","No",3,2,8,0,0,7,3,5,7,"Yes - I already have",3,"Always Legal","Yes","August","Under","FOLD","Burger King","Burger King","Innocent Executed","No Sex","funeral",2
"Female","Female","East Asian","No","No",98,97,30,"Yes",4,5,7,"straight","Yes",12,"No","No","No",5,4,7,5,5,0,1,6,10,"Yes - I would",2,"Always Legal","No","October","Over","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","funeral",2
"Female","Female","White","Yes","Yes",92,72,35,"Yes",3,7,8,"straight","Yes",6,"No","No","No",0,2,10,0,0,0,0,7,7,"Yes - I would",5,"Illegal most of the time","No","August","Over","WAD","Mcdonalds","Burger King","Innocent Executed","No Love","funeral",2
"Female","Female","White","Yes","Yes",81,90,65,"Uncertain",8,3,6,"straight","Yes",8,"No","No","No",8,6,2,0,0,0,0,3,5,"Unsure",4,"Always Legal","Yes","May","Over","WAD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",1
"Male","Male","East Asian","Yes","Yes",95,100,15,"No",0,5,5,"straight","Yes",8,"No","No","No",8,8,2,0,0,0,0,3,5,"Unsure",2,"Legal most of the time","No","November","Over","FOLD","Mcdonalds","Burger King","Guilty Free","No Sex","funeral",2
"Female","Other","White","Yes","Yes",87,69,80,"No",7,4,3,"bi","Yes",8,"No","Yes","Yes",5,3,3,0,0,8,3,6,6,"Yes - I already have",0,"Always Legal","No","July","Over","WAD","Mcdonalds","Burger King","Guilty Free","No Love","wedding",2
"Male","Male","White","Yes","Yes",97,93,20,"No",0,5,5,"straight","Yes",8,"No","No","No",3,2,8,0,0,1,1,10,10,"Yes - I already have",2,"Always Legal","Yes","May","Under","WAD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","wedding",1
"Female","Female","East Asian","No","No",91,94,35,"No",3,3,6,"straight","Yes",13,"No","No","Yes",8,4,3,0,0,2,2,7,5,"Yes - I already have",2,"Neutral","Yes","May","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",1
"Female","Female","East Asian","No","No",99,100,10,"Uncertain",2,5,5,"straight","Yes",10,"No","No","No",7,7,8,0,0,0,0,5,10,"Yes - I would",3,"Legal most of the time","No","January","Over","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","funeral",2
"Female","Female","White","Yes","No",92,65,35,"Yes",7,5,4,"straight","Yes",10,"No","No","No",4,3,8,10,10,1,1,9,9,"Yes - I already have",2,"Legal most of the time","No","August","Over","WAD","Mcdonalds","Burger King","Guilty Free","No Sex","funeral",2
"Male","Male","South Asian","Yes","No",93,96,10,"No",8,2,4,"straight","Yes",14,"No","No","No",9,9,3,0,0,0,0,2,2,"Yes - I would",2,"Illegal most of the time","No","October","No preference","WAD","Mcdonalds","Burger King","Guilty Free","No Sex","funeral",2
"Female","Female","White","Yes","Yes",90,91,70,"No",6,5,4,"straight","Yes",10,"No","No","No",0,0,10,5,5,7,0,7,5,"Yes - I already have",3,"Always Legal","Yes","December","No preference","WAD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","funeral",2
"Female","Female","Hispanic","Yes","Yes",51,54,15,"No",6,5,5,"straight","Yes",8,"No","No","No",5,5,8,0,0,1,1,5,10,"Yes - I would",2,"Always Legal","Yes","May","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",1
"Male","Male","White","Yes","Yes",67,67,50,"Yes",8,7,7,"straight","Yes",8,"No","No","No",0,0,10,10,3,31,5,7,9,"Yes - I already have",2,"Neutral","Yes","June","Over","WAD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",1
"Female","Female","White","Yes","Yes",82,95,15,"Uncertain",10,5,5,"straight","Yes",2,"No","No","No",0,0,10,3,3,6,1,7,5,"Yes - I already have",2,"Legal most of the time","Yes","April","Over","WAD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",2
"Female","Female","South Asian","Yes","Yes",94,93,20,"No",4,2,4,"straight","Yes",4,"No","No","No",3,3,8,1,1,0,0,3,8,"No",2,"Always Legal","Yes","January","No preference","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","funeral",2
"Male","Male","East Asian","No","No",98,98,5,"Uncertain",1,5,7,"straight","Yes",6,"No","No","No",1,0,10,8,8,5,2,7,0,"Yes - I already have",2,"Always Legal","Yes","July","No preference","FOLD","Mcdonalds","Burger King","Guilty Free","No Love","wedding",1
"Female","Female","White","Yes","Yes",68,84,15,"Uncertain",7,5,5,"straight","Yes",2,"No","No","No",8,8,3,7,7,9,3,8,8,"Yes - I already have",2,"Always Legal","Yes","October","Over","WAD","Mcdonalds","Burger King","Guilty Free","No Sex","funeral",1
"Female","Female","White","Yes","Yes",89,89,25,"No",7,7,9,"straight","Yes",13,"No","No","No",10,10,0,0,0,4,1,8,7,"Yes - I already have",3,"Always Legal","Yes","August","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Love","wedding",1
"Male","Male","East Asian","No","No",85,95,5,"Yes",0,7,7,"straight","Yes",2,"No","No","No",6,6,6,3,8,1,1,8,7,"Yes - I already have",2,"Illegal most of the time","Yes","August","No preference","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","funeral",2
"Male","Male","East Asian","Yes","Yes",93,100,10,"No",9,3,5,"straight","Yes",8,"No","No","No",8,8,2,3,3,0,1,2,8,"No",4,"Illegal most of the time","No","October","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",2
"Male","Male","White","Yes","Yes",99,98,20,"No",8,6,8,"straight","Yes",10,"No","No","No",8,8,2,8,7,3,3,4,9,"Yes - I already have",3,"Illegal most of the time","No","November","Over","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","funeral",2
"Female","Female","White","Yes","Yes",76,85,10,"No",7,1,10,"bi","No",14,"No","Yes","No",2,2,7,0,0,3,1,8,9,"Yes - I would",5,"Illegal most of the time","Yes","March","Under","WAD","Mcdonalds","Mcdonalds","Guilty Free","No Love","wedding",2
"Female","Female","White","Yes","Yes",97,100,30,"No",2,4,5,"straight","Yes",5,"No","Yes","No",2,2,8,0,0,0,1,8,8,"Yes - I would",2,"Always Legal","Yes","March","No preference","WAD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","funeral",2
"Male","Male","White","Yes","Yes",81,90,15,"No",2,3,3,"straight","Yes",5,"No","No","No",8,8,2,0,3,3,0,6,8,"Yes - I already have",3,"Neutral","Yes","December","Over","WAD","Burger King","Burger King","Guilty Free","No Love","funeral",2
"Female","Female","White","Yes","Yes",94,89,0,"No",10,5,5,"straight","Yes",2,"No","No","No",10,10,0,5,5,4,1,5,10,"Yes - I already have",2,"Illegal most of the time","Yes","January","Over","WAD","Burger King","Burger King","Guilty Free","No Sex","funeral",1
"Female","Female","East Asian","Yes","Yes",97,93,15,"No",8,3,9,"straight","Yes",9,"No","No","No",4,4,7,0,0,0,0,2,9,"Unsure",2,"Illegal most of the time","Yes","June","Over","WAD","Burger King","Burger King","Guilty Free","No Sex","wedding",2
"Female","Female","White","Yes","Yes",76,96,5,"Yes",2,5,4,"straight","Yes",2,"No","No","No",6,9,3,0,10,2,2,6,8,"Yes - I already have",2,"Always Legal","No","August","Over","WAD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","funeral",1
"Female","Female","Hispanic","Yes","No",89,93,30,"No",7,5,9,"straight","Yes",8,"No","Yes","No",0,0,10,5,5,1,3,3,10,"Yes - I already have",4,"Always Legal","Yes","June","Over","FOLD","Mcdonalds","Burger King","Innocent Executed","No Sex","funeral",2
"Female","Female","East Asian","No","No",93,95,10,"No",0,3,5,"straight","Yes",10,"No","No","No",2,2,5,2,1,0,3,3,7,"Yes - I would",2,"Always Legal","No","September","Under","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","wedding",2
"Female","Female","South Asian","Yes","No",77,80,40,"No",5,5,5,"straight","Yes",12,"No","No","No",10,10,0,0,0,0,0,10,10,"No",2,"Always Legal","Yes","September","Over","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","wedding",1
"Male","Male","White","Yes","Yes",73,84,20,"No",0,1,2,"gay/lesbian","Yes",8,"No","Yes","No",6,6,6,0,0,4,2,8,1,"Yes - I already have",0,"Always Legal","Yes","July","No preference","WAD","Mcdonalds","Burger King","Guilty Free","No Sex","funeral",2
"Male","Male","Other","Yes","Yes",96,96,10,"No",7,3,9,"straight","Yes",10,"No","No","No",0,0,10,0,0,12,1,8,0,"Yes - I already have",2,"Always Legal","No","February","Under","FOLD","Mcdonalds","Mcdonalds","Guilty Free","No Sex","wedding",1
"Female","Female","Hispanic","Yes","Yes",87,97,15,"No",7,0,5,"bi","No",16,"Yes","Yes","Yes",7,7,5,0,0,2,1,9,10,"Yes - I already have",3,"Always Legal","No","October","Over","WAD","Burger King","Burger King","Innocent Executed","No Sex","funeral",1
"Female","Female","White","Yes","Yes",82,91,15,"Uncertain",7,8,9,"straight","Yes",4,"No","No","No",10,9,1,0,0,12,3,8,4,"Yes - I already have",4,"Illegal most of the time","No","July","Over","WAD","Mcdonalds","Burger King","Guilty Free","No Love","wedding",1
"Female","Female","Other","Yes","Yes",72,78,30,"No",4,2,6,"straight","Yes",5,"No","No","No",8,7,2,0,0,1,1,7,8,"Yes - I already have",3,"Always Legal","No","December","Over","FOLD","Burger King","Mcdonalds","Innocent Executed","No Sex","funeral",1
"Female","Female","White","Yes","Yes",94,97,20,"Uncertain",5,9,9,"straight","Yes",13,"No","Yes","No",5,5,1,0,0,2,2,7,2,"Yes - I already have",3,"Illegal most of the time","Yes","April","Over","FOLD","Mcdonalds","Mcdonalds","Innocent Executed","No Sex","funeral",1
"Male","Male","East Asian","Yes","Yes",82,67,20,"No",2,5,5,"straight","Yes",15,"No","No","No",3,2,7,5,5,0,0,8,3,"Yes - I would",2,"Always Legal","No","July","Under","FOLD","Burger King","Burger King","Guilty Free","No Love","wedding",1
"Female","Female","Other","Yes","Yes",72,83,30,"No",7,3,6,"straight","Yes",4,"No","No","No",3,4,8,0,0,0,0,7,8,"Yes - I would",3,"Illegal most of the time","No","February","Over","WAD","Mcdonalds","Burger King","Innocent Executed","No Love","funeral",2
