"gender","genderID","greek","homeTown","ethnicity","religion","religious","likeMath","calculus","ACT","GPA","partyHr","drinks","sexPartners","relationships","callParents","socialMedia","texts","goodOrWell","expectedIncome","president","DACA","liberal","politicalParty","gradeVsLearning","parentRelationship","workHr","tuition","career"
"Female","Female","No","Big City","White","Christian",8,6,"Yes",27,3.9,9,13,0,0,3,3,6,6,100,"Not eligible to vote",0,4,"Democratic",4,7,5,80,3
"Female","Female","No","Big City","East Asian","Christian",6,6,"Yes",28,3.4,1,2,0,0,1,2,8,9,300,"Not eligible to vote",1,5,"Other",3,8,0,100,7
"Male","Male","No","Big City","East Asian","Buddhist",4,3,"Yes",30,4,8,0,1,3,7,2,5,3,200,"Hillary Clinton",5,2,"Democratic",1,8,0,100,2
"Female","Female","No","Big City","Hispanic","Religious but not one of the above",6,0,"No",25,3.4,50,0,50,25,2,3,0,10,67676,"Hillary Clinton",0,2,"Democratic",4,7,0,50,0
"Female","Female","No","Big City","East Asian","Atheist",2,6,"No",31,3.9,2,2,1,2,10,5,8,10,50,"Not eligible to vote",5,5,"Other",6,7,0,100,8
"Female","Female","No","Big City Subrub","East Asian","Christian",7,7,"No",30,3.6,0,0,0,0,3,3,8,4,100,"Not eligible to vote",5,8,"Other",6,8,0,100,5
"Female","Female","No","Big City Subrub","Other","Christian",7,1,"No",29,3.3,6,16,1,0,3,2,4,5,100,"Chose not to vote",1,5,"Republican",0,4,0,100,5
"Female","Female","No","Big City Subrub","Black","Christian",7,3,"No",25,3.6,2,0,1,2,28,2,3,7,100,"Hillary Clinton",0,3,"Democratic",3,7,5,100,2
"Female","Female","No","Medium City","South Asian","Christian",9,3,"Yes",28,3.4,0,0,0,1,10,1,10,10,80,"Hillary Clinton",0,3,"Democratic",0,7,0,100,8
"Male","Male","No","Big City","South Asian","Hindu",2,0,"Yes",32,3.8,6,0,2,1,22,3,4,8,100,"Not eligible to vote",0,1,"Democratic",9,9,0,100,7
"Male","Male","Yes","Big City Subrub","White","Atheist",0,10,"Yes",32,3,25,30,2,1,4,4,10,2,100,"Chose not to vote",0,5,"Other",5,8,0,100,0
"Female","Female","No","Big City Subrub","White","Agnostic",2,0,"No",31,3.7,3,2,0,0,3,5,6,7,150,"Not eligible to vote",0,2,"Democratic",2,8,0,100,8
"Male","Male","Yes","Big City Subrub","White","Christian",5,4,"Yes",29,3.3,12,25,3,0,3,1,4,6,100,"Donald Trump",3,5,"Independent",3,9,0,50,2
"Female","Female","No","Big City","East Asian","Christian",8,8,"Yes",35,3.9,0,0,0,0,3,0,4,5,200,"Not eligible to vote",1,6,"Other",5,9,0,100,7
"Female","Female","No","Medium City","White","Agnostic",0,10,"Yes",28,4,0,1,2,3,2,2,5,5,80,"Not eligible to vote",0,0,"Democratic",4,8,20,30,4
"Female","Female","Yes","Big City Subrub","White","Christian",0,10,"Yes",28,2.9,23,15,0,2,2,10,12,7,200,"Chose not to vote",0,2,"Democratic",6,10,10,0,5
"Female","Female","No","Big City","White","Religious but not one of the above",3,6,"Yes",27,3.6,25,30,1,0,2,5,4,5,70,"Not eligible to vote",0,3,"Democratic",4,7,0,80,0
"Female","Female","No","Big City","East Asian","Atheist",3,0,"No",20,2,4,4,0,0,4,5,4,7,50,"Not eligible to vote",0,3,"Democratic",0,7,0,0,5
"Male","Male","No","Big City Subrub","East Asian","Christian",9,3,"Yes",35,3.7,0,0,1,2,1,2,5,10,200,"Hillary Clinton",0,2,"Democratic",0,8,20,100,10
"Female","Female","No","Big City Subrub","White","Christian",3,6,"Yes",24,3.6,6,12,1,2,3,2,6,1,100,"Not eligible to vote",2,2,"Democratic",5,2,0,20,6
"Male","Male","No","Big City Subrub","Hispanic","Christian",3,10,"Yes",24,3.1,9,5,3,0,2,2,1,7,300,"Gary Johnson",0,4,"Democratic",5,10,25,50,7
"Male","Male","No","Big City","East Asian","Atheist",2,5,"Yes",36,4,2,0,0,0,3,3,4,2,120,"Not eligible to vote",1,2,"Other",3,8,10,100,7
"Female","Female","No","Medium City","Other","Jewish",5,8,"No",29,3.5,6,10,0,0,2,3,4,6,150,"Not eligible to vote",0,5,"Democratic",3,5,0,100,1
"Male","Male","Yes","Big City","Other","Atheist",0,5,"Yes",34,2.3,0,0,4,0,1,1,0,10,200,"Not eligible to vote",5,5,"Other",8,10,0,100,10
"Female","Female","No","Small Town","White","Christian",10,7,"No",21,3.5,0,0,5,5,4,1,10,0,100,"Donald Trump",5,5,"Republican",6,9,0,50,3
"Female","Female","No","Medium City","Other","Christian",7,0,"Yes",27,2.6,16,5,3,1,18,8,4,6,200,"Hillary Clinton",7,5,"Democratic",3,10,0,100,7
"Female","Female","No","Small Town","White","Christian",3,4,"No",23,4,0,0,1,1,2,5,3,5,80,"Not eligible to vote",10,8,"Republican",5,10,5,50,10
"Male","Male","No","Big City Subrub","White","Christian",6,7,"No",27,3.7,5,10,1,0,3,0,3,4,100,"Not eligible to vote",0,6,"Independent",7,9,0,100,9
"Male","Male","No","Big City","East Asian","Religious but not one of the above",2,10,"Yes",25,3.7,0,0,0,2,5,6,5,5,500,"Not eligible to vote",0,0,"Other",5,8,0,100,7
"Female","Female","No","Big City Subrub","Black","Christian",7,5,"No",26,3.7,5,2,1,0,7,3,3,8,200,"Not eligible to vote",0,5,"Independent",3,1,0,0,7
"Female","Female","No","Big City Subrub","East Asian","Agnostic",0,1,"Yes",30,3.7,0,0,1,1,0,2,6,5,100,"Chose not to vote",0,4,"Other",3,10,15,0,7
"Male","Male","No","Big City","White","Atheist",0,6,"Yes",31,3.7,12,25,1,2,3,1,4,3,150,"Hillary Clinton",0,3,"Democratic",4,10,20,50,4
"Female","Female","No","Big City","Black","Christian",10,3,"Yes",27,2.8,6,9,0,1,14,10,20,5,250,"Hillary Clinton",0,2,"Democratic",5,10,20,100,7
"Female","Female","No","Big City","Hispanic","Christian",7,6,"No",24,3.4,5,1,1,1,5,4,5,5,40,"Not eligible to vote",0,5,"Democratic",5,9,0,100,7
"Female","Female","Yes","Big City Subrub","East Asian","Buddhist",6,6,"Yes",27,3,3,1,0,0,1,5,3,5,60,"Not eligible to vote",0,0,"Democratic",4,7,5,10,5
"Female","Female","Yes","Medium City","White","Jewish",7,4,"Yes",26,3.4,5,2,0,0,6,6,26,6,100,"Not eligible to vote",1,4,"Democratic",6,8,20,100,6
"Female","Female","No","Big City Subrub","Other","Atheist",1,8,"Yes",33,3.6,4,5,0,0,5,1,6,2,100,"Hillary Clinton",0,3,"Democratic",5,9,0,100,3
"Female","Female","No","Small Town","White","Agnostic",0,7,"Yes",22,1.9,2,2,5,2,0,3,1,7,50,"Hillary Clinton",0,9,"Democratic",2,5,15,0,0
"Female","Female","No","Big City Subrub","White","Agnostic",1,5,"Yes",32,3.6,8,10,7,4,4,1,7,5,90,"Not eligible to vote",0,3,"Democratic",5,7,0,100,9
"Male","Male","Yes","Big City","Hispanic","Christian",4,5,"Yes",24,2.9,6,4,4,0,15,6,6,10,100,"Chose not to vote",0,5,"Democratic",9,10,5,20,7
"Female","Female","No","Big City","Black","Atheist",0,7,"Yes",24,3.3,0,0,1,1,14,0,6,5,150,"Hillary Clinton",0,0,"Independent",5,10,40,0,10
"Female","Female","No","Big City","Black","Christian",8,8,"Yes",20,3.7,3,0,0,1,10,5,7,0,400,"Chose not to vote",0,0,"Other",10,8,10,100,9
"Male","Male","No","Big City Subrub","Hispanic","Christian",7,7,"Yes",21,2.8,10,10,5,2,10,10,3,5,150,"Hillary Clinton",0,4,"Democratic",5,8,20,50,6
"Male","Male","Yes","Medium City","White","Atheist",2,7,"Yes",26,3.7,4,0,2,1,3,3,2,8,100,"Chose not to vote",2,2,"Republican",8,9,10,70,10
"Female","Female","No","Big City Subrub","White","Agnostic",2,2,"Yes",30,3.3,5,4,1,1,2,4,4,10,250,"Donald Trump",6,5,"Republican",5,3,5,100,3
"Female","Female","Yes","Big City","Hispanic","Christian",5,2,"No",20,3.6,6,8,1,1,1,2,4,5,150,"Hillary Clinton",0,0,"Democratic",5,10,15,60,10
"Female","Female","Yes","Medium City","White","Christian",7,6,"Yes",28,4,6,10,0,0,5,3,5,5,80,"Not eligible to vote",7,7,"Republican",5,10,0,100,7
"Female","Female","No","Big City","East Asian","Atheist",0,0,"Yes",24,3.8,48,3,5,1,3,2,3,7,60,"Not eligible to vote",5,3,"Democratic",2,6,0,100,0
"Female","Female","No","Big City Subrub","White","Christian",7,4,"No",28,3.8,22,20,1,1,10,3,9,6,90,"Not eligible to vote",1,6,"Republican",4,9,0,0,3
"Male","Male","Yes","Medium City","Other","Christian",6,7,"Yes",34,3.9,14,24,1,0,1,2,4,6,100,"Hillary Clinton",0,7,"Other",4,6,0,90,7
"Male","Male","No","Big City","East Asian","Agnostic",0,4,"Yes",33,3.5,10,0,0,2,0,2,4,7,150,"Hillary Clinton",0,3,"Democratic",3,4,5,0,4
"Female","Female","No","Big City","Hispanic","Christian",3,3,"No",26,3.9,12,15,3,3,14,5,5,9,90,"Not eligible to vote",5,8,"Democratic",3,9,0,80,0
"Female","Female","No","Big City","Black","Religious but not one of the above",0,7,"Yes",22,2.8,0,0,0,0,7,3,5,9,200,"Hillary Clinton",0,2,"Independent",5,7,20,30,4
"Female","Female","No","Small Town","White","Christian",2,8,"Yes",29,2.7,15,17,12,2,7,4,5,2,70,"Donald Trump",4,8,"Republican",5,8,10,0,6
"Male","Male","No","Big City Subrub","East Asian","Christian",1,9,"Yes",24,3.7,0,0,0,0,2,0,4,0,90,"Not eligible to vote",2,5,"Democratic",7,6,0,80,3
"Male","Male","No","Medium City","East Asian","Buddhist",3,5,"Yes",32,4,0,0,1,0,7,5,0,0,110,"Donald Trump",7,6,"Other",7,10,0,100,7
"Female","Female","Yes","Big City Subrub","White","Christian",5,5,"Yes",27,3.2,11,25,5,0,6,2,7,6,60,"Donald Trump",7,3,"Republican",3,10,5,0,7
"Female","Female","No","Big City Subrub","Black","Christian",5,2,"No",19,3.5,2,1,0,0,2,6,10,0,50,"Jill Stein",0,2,"Democratic",5,10,0,0,8
"Female","Female","No","Medium City","Black","Christian",7,5,"Yes",20,2.9,3,4,11,1,4,2,2,5,300,"Chose not to vote",0,5,"Other",10,8,0,0,7
"Male","Male","No","Big City Subrub","East Asian","Atheist",0,0,"Yes",30,3.2,0,0,50,1,1,10,0,10,10000,"Not eligible to vote",5,5,"Republican",0,5,0,100,0
"Male","Male","No","Medium City","East Asian","Atheist",0,0,"Yes",35,3.5,2,2,0,1,1,2,4,9,100,"Not eligible to vote",1,3,"Democratic",5,7,0,100,5
"Male","Male","No","Big City Subrub","East Asian","Agnostic",0,8,"Yes",30,3.6,1,1,3,3,10,3,7,7,1000,"Not eligible to vote",4,5,"Democratic",5,5,0,100,4
"Female","Female","No","Big City","East Asian","Atheist",0,8,"Yes",34,3.9,0,0,0,0,7,5,4,9,12,"Not eligible to vote",3,5,"Other",6,8,0,90,8
"Male","Male","No","Small Town","East Asian","Agnostic",1,5,"No",29,4,3,4,0,0,1,2,5,5,110,"Hillary Clinton",0,3,"Democratic",5,9,0,100,5
"Female","Female","No","Big City","White","Christian",0,8,"Yes",30,2.9,2,3,6,1,1,6,5,0,200,"Hillary Clinton",0,2,"Democratic",5,10,0,100,9
"Female","Female","No","Small Town","East Asian","Atheist",0,8,"No",28,3.7,0,0,0,1,12,2,5,10,500,"Chose not to vote",3,2,"Other",1,10,0,100,0
"Male","Male","No","Big City Subrub","Hispanic","Atheist",0,4,"Yes",28,3.6,1,1,1,1,1,4,3,5,115,"Hillary Clinton",0,2,"Democratic",5,9,0,10,8
"Male","Male","No","Big City","Black","Christian",3,0,"No",16,2.9,0,0,3,2,3,2,2,4,200,"Hillary Clinton",0,0,"Democratic",0,9,40,0,10
"Male","Male","No","Big City","East Asian","Agnostic",0,5,"Yes",35,3.3,1,1,1,1,1,5,10,10,150,"Not eligible to vote",1,3,"Democratic",3,10,0,100,5
"Female","Female","Yes","Big City","White","Christian",5,4,"Yes",24,2.9,15,20,6,0,10,2,9,7,120,"Hillary Clinton",0,6,"Libertarian",4,9,0,100,0
"Female","Female","No","Big City Subrub","Hispanic","Agnostic",1,2,"Yes",26,2.8,5,5,1,2,4,6,7,7,150,"Hillary Clinton",0,3,"Democratic",3,10,0,100,3
"Female","Female","No","Big City Subrub","White","Christian",5,6,"Yes",24,4,6,0,0,0,1,3,8,2,60,"Not eligible to vote",5,5,"Democratic",5,8,10,0,2
"Female","Female","No","Big City Subrub","White","Christian",6,7,"Yes",24,4,8,5,1,2,7,3,5,7,100,"Not eligible to vote",5,3,"Democratic",3,9,0,40,6
"Female","Female","No","Big City Subrub","Hispanic","Christian",3,7,"No",26,3.2,4,4,7,3,10,2,7,8,100,"Hillary Clinton",0,3,"Democratic",3,8,0,0,10
"Male","Male","Yes","Big City Subrub","White","Agnostic",3,0,"No",32,3.2,10,14,12,1,2,3,3,6,100,"Donald Trump",10,8,"Republican",8,9,0,100,3
"Female","Female","No","Big City Subrub","White","Jewish",6,8,"No",30,3.9,4,10,0,0,5,4,7,5,250,"Not eligible to vote",0,8,"Democratic",5,9,20,100,2
"Male","Male","Yes","Small Town","White","Christian",7,4,"Yes",23,2.1,10,50,5,3,17,7,13,9,1,"Donald Trump",10,10,"Republican",9,3,45,90,8
"Female","Female","No","Medium City","White","Christian",3,6,"No",29,3.7,12,13,2,2,2,2,15,5,150,"Not eligible to vote",0,2,"Democratic",7,7,0,90,1
"Male","Male","Yes","Big City Subrub","Hispanic","Christian",4,0,"No",28,3.8,15,20,2,0,1,2,4,10,250,"Hillary Clinton",5,7,"Republican",1,8,0,100,8
"Male","Male","No","Big City Subrub","South Asian","Atheist",0,3,"Yes",35,3.6,0,0,0,0,7,0,3,10,100,"Not eligible to vote",0,2,"Democratic",2,6,0,50,2
"Female","Female","No","Small Town","White","Atheist",0,5,"No",27,3.6,8,6,0,0,3,2,4,5,90,"Not eligible to vote",10,6,"Independent",4,10,0,100,10
"Female","Female","No","Medium City","East Asian","Atheist",1,5,"Yes",28,3.6,0,0,0,0,2,0,3,5,1000,"Donald Trump",5,5,"Other",10,8,0,100,5
"Male","Male","Yes","Big City Subrub","White","Jewish",1,5,"Yes",31,3.3,4,14,3,0,1,3,2,5,200,"Chose not to vote",0,4,"Democratic",4,7,0,100,8
"Female","Female","No","Small Town","White","Christian",8,7,"Yes",23,3.7,5,5,1,1,2,5,2,6,15,"Chose not to vote",0,5,"Republican",5,9,0,80,2
"Female","Female","No","Big City Subrub","White","Christian",3,4,"Yes",26,3.8,5,3,0,0,1,2,10,2,90,"Not eligible to vote",8,7,"Republican",5,7,0,50,7
"Female","Female","No","Big City","East Asian","Christian",3,0,"No",32,4,0,0,0,0,3,1,5,5,100,"Not eligible to vote",0,3,"Independent",0,3,0,0,6
"Male","Male","No","Small Town","White","Atheist",2,6,"Yes",32,3.3,10,15,50,2,3,2,5,5,80,"Hillary Clinton",0,1,"Democratic",4,9,10,0,5
"Male","Male","Yes","Big City Subrub","White","Christian",6,5,"No",25,3.2,4,31,11,0,4,5,3,8,200,"Donald Trump",10,9,"Republican",7,10,25,100,5
"Male","Male","No","Medium City","Hispanic","Christian",1,6,"Yes",30,2.5,0,0,1,1,1,3,1,7,90,"Chose not to vote",0,3,"Democratic",5,6,0,20,0
"Female","Female","No","Big City","East Asian","Atheist",0,3,"No",33,3.5,0,0,0,0,1,3,4,7,200,"Donald Trump",2,5,"Other",4,9,10,90,5
"Male","Male","No","Big City Subrub","East Asian","Christian",7,9,"Yes",33,3.6,0,0,0,2,1,4,10,5,130,"Donald Trump",8,6,"Independent",2,8,0,80,8
"Male","Male","No","Big City","East Asian","Christian",3,3,"Yes",30,4,12,0,0,0,7,3,10,6,100,"Not eligible to vote",5,5,"Other",3,8,0,100,6
"Female","Female","No","Big City Subrub","White","Agnostic",0,5,"Yes",31,3.3,0,0,1,1,3,1,3,2,50,"Hillary Clinton",0,1,"Democratic",6,10,10,0,9
"Female","Female","No","Big City Subrub","Hispanic","Atheist",1,6,"No",24,3.5,2,1,2,2,7,5,6,3,200,"Hillary Clinton",0,4,"Democratic",5,8,10,0,10
"Female","Female","No","Big City Subrub","Black","Christian",6,10,"Yes",25,3.8,6,2,5,0,5,1,7,8,100,"Not eligible to vote",0,4,"Democratic",7,8,10,100,8
"Male","Male","Yes","Big City Subrub","Other","Christian",2,5,"No",26,3.8,10,15,1,1,3,2,4,8,200,"Not eligible to vote",2,5,"Republican",6,7,0,100,5
"Male","Male","No","Big City","South Asian","Hindu",3,9,"Yes",33,3.6,6,0,2,1,5,7,5,8,250,"Not eligible to vote",1,4,"Other",10,8,0,100,1
"Female","Female","No","Medium City","South Asian","Muslim",7,7,"Yes",23,3.4,2,0,0,0,6,2,5,5,85,"Hillary Clinton",0,4,"Democratic",5,9,5,20,7
"Female","Female","No","Big City Subrub","White","Agnostic",1,4,"Yes",31,3.7,10,14,11,3,7,2,2,3,350,"Hillary Clinton",0,0,"Democratic",3,10,0,90,2
"Male","Male","No","Small Town","East Asian","Christian",8,7,"Yes",31,3,2,2,2,1,2,0,10,7,25,"Not eligible to vote",0,0,"Democratic",5,7,0,100,5
"Female","Female","No","Big City","Black","Christian",9,3,"No",27,2.7,7,4,2,1,20,3,6,10,900,"Hillary Clinton",0,3,"Democratic",5,8,0,50,8
"Female","Female","No","Big City","Other","Christian",4,7,"Yes",28,2.3,2,5,3,2,7,4,3,5,300,"Hillary Clinton",0,4,"Republican",6,10,0,20,10
"Male","Male","No","Big City","Black","Muslim",7,6,"Yes",21,2.5,0,0,0,0,2,5,5,8,999,"Hillary Clinton",0,0,"Democratic",10,5,0,0,6
"Male","Male","No","Big City","Hispanic","Agnostic",3,10,"Yes",25,2.7,10,13,1,0,3,8,10,6,300,"Hillary Clinton",0,5,"Democratic",8,5,0,10,8
"Female","Female","No","Big City Subrub","White","Agnostic",1,1,"No",28,2.9,4,6,1,1,4,3,2,2,80,"Hillary Clinton",0,0,"Democratic",7,10,20,100,5
"Male","Male","No","Small Town","White","Agnostic",2,9,"Yes",32,3,0,1,0,0,2,1,2,7,100,"Chose not to vote",2,5,"Republican",3,10,0,100,3
"Male","Male","No","Big City Subrub","White","Agnostic",1,3,"Yes",32,4,3,0,0,0,2,2,8,6,110,"Not eligible to vote",2,5,"Independent",2,8,0,70,9
"Male","Male","No","Big City","Hispanic","Religious but not one of the above",8,8,"Yes",19,2.9,8,6,2,1,4,2,5,9,100,"Hillary Clinton",0,5,"Democratic",5,10,0,0,9
"Female","Female","No","Big City","Hispanic","Atheist",0,5,"Yes",36,2.6,50,0,50,0,4,3,5,0,66666,"Hillary Clinton",0,3,"Democratic",5,9,0,0,5
"Female","Female","No","Big City Subrub","White","Christian",7,7,"Yes",28,4,5,4,0,0,4,3,5,7,250,"Donald Trump",7,5,"Republican",5,10,0,100,7
"Male","Male","Yes","Big City","White","Christian",5,2,"Yes",29,4,10,10,0,0,5,2,15,8,150,"Not eligible to vote",2,5,"Independent",1,10,0,100,0
"Female","Female","No","Medium City","Black","Christian",4,7,"Yes",22,3,3,5,4,2,4,3,8,5,200,"Hillary Clinton",0,5,"Democratic",5,10,10,0,8
"Female","Female","No","Small Town","White","Christian",10,0,"No",19,3.9,4,10,3,1,10,1,2,5,90,"Donald Trump",5,8,"Republican",5,8,0,0,8
"Male","Male","No","Big City Subrub","Other","Christian",8,3,"Yes",23,4,0,0,0,0,3,3,3,0,1000,"Hillary Clinton",0,8,"Democratic",10,10,15,20,5
"Male","Male","Yes","Big City Subrub","White","Christian",0,5,"Yes",25,2.5,15,35,15,3,2,2,5,7,200,"Gary Johnson",0,5,"Democratic",0,5,0,50,1
"Male","Male","No","Big City","Black","Agnostic",8,8,"Yes",24,3.3,5,2,1,3,5,5,8,3,300,"Chose not to vote",0,3,"Democratic",5,10,0,10,5
"Female","Female","Yes","Big City","White","Christian",1,0,"Yes",30,3.6,12,35,6,2,1,10,10,5,100,"Hillary Clinton",1,3,"Democratic",2,9,0,80,2
"Female","Female","No","Small Town","White","Christian",8,7,"Yes",30,4,0,0,0,2,1,1,3,5,50,"Not eligible to vote",5,5,"Independent",5,5,10,0,3
"Female","Female","No","Big City Subrub","Black","Christian",7,8,"No",22,4,0,1,3,1,7,6,4,8,150,"Hillary Clinton",2,0,"Democratic",7,9,0,0,7
"Female","Female","No","Medium City","White","Buddhist",5,3,"Yes",26,3.3,4,4,1,1,4,2,5,2,80,"Hillary Clinton",0,0,"Democratic",3,9,0,100,8
"Female","Other","No","Medium City","East Asian","Christian",7,0,"No",29,3.6,2,1,0,1,4,4,3,5,50,"Not eligible to vote",0,2,"Democratic",3,8,0,100,9
"Female","Female","No","Medium City","White","Agnostic",0,0,"No",29,3.8,0,0,1,0,0,2,2,1,60,"Hillary Clinton",0,2,"Independent",4,2,0,100,5
"Male","Male","Yes","Big City Subrub","White","Christian",10,6,"Yes",28,2.9,35,50,11,1,1,0,0,4,300,"Donald Trump",5,8,"Republican",5,8,0,100,6
"Female","Female","Yes","Big City","Black","Christian",5,4,"No",25,3.6,4,1,2,1,1,3,3,3,65,"Hillary Clinton",0,5,"Democratic",4,7,20,0,5
"Female","Female","No","Big City","East Asian","Atheist",1,5,"Yes",22,3.7,1,0,15,1,1,10,4,5,10,"Not eligible to vote",5,5,"Other",5,5,0,10,10
"Female","Female","No","Big City Subrub","White","Jewish",5,1,"No",23,3.4,4,5,0,0,1,3,5,2,115,"Hillary Clinton",0,0,"Independent",5,8,0,90,10
"Female","Female","Yes","Small Town","White","Christian",6,6,"No",28,3.7,0,0,0,2,3,5,5,7,50,"Not eligible to vote",0,2,"Democratic",3,9,0,100,7
"Female","Female","Yes","Medium City","White","Christian",7,0,"No",22,3.5,3,5,5,3,2,2,10,5,80,"Donald Trump",0,3,"Independent",3,10,20,50,5
"Female","Female","No","Big City","White","Christian",8,9,"Yes",21,3.6,10,10,0,0,4,2,2,6,100,"Not eligible to vote",8,5,"Republican",4,7,0,0,3
"Female","Female","No","Big City","White","Jewish",3,5,"No",27,4,10,10,3,2,7,1,3,3,90,"Not eligible to vote",0,0,"Democratic",3,10,0,0,10
"Male","Male","No","Big City","East Asian","Atheist",2,7,"Yes",32,3.5,2,0,0,1,3,1,2,7,400,"Not eligible to vote",2,6,"Other",6,8,0,100,6
"Female","Female","No","Small Town","White","Christian",7,8,"Yes",33,3.8,0,0,6,3,3,1,2,9,150,"Donald Trump",10,9,"Republican",8,8,0,0,10
"Male","Male","No","Small Town","White","Christian",7,4,"Yes",23,3.8,12,16,1,1,2,3,6,1,72,"Donald Trump",7,9,"Republican",2,6,0,40,6
"Female","Female","No","Big City","Black","Christian",9,3,"No",18,2.8,0,0,0,2,14,8,5,5,100,"Hillary Clinton",10,5,"Democratic",5,10,0,50,6
"Female","Female","No","Big City Subrub","South Asian","Hindu",1,10,"Yes",35,3.8,2,5,0,0,14,2,5,8,750,"Not eligible to vote",0,3,"Independent",4,9,0,80,9
"Female","Female","No","Medium City","White","Christian",2,4,"Yes",24,3.7,15,10,0,0,4,2,2,8,200,"Donald Trump",8,8,"Republican",2,7,0,100,7
"Female","Female","No","Big City Subrub","White","Religious but not one of the above",8,0,"Yes",35,2.7,8,9,6,4,1,2,3,2,45,"Hillary Clinton",0,0,"Independent",7,7,0,100,10
"Female","Female","No","Big City Subrub","White","Christian",2,8,"Yes",30,3.8,12,10,2,1,1,6,5,6,80,"Donald Trump",6,7,"Republican",4,10,0,100,9
"Female","Female","Yes","Big City Subrub","White","Christian",5,4,"Yes",26,3.3,5,10,5,2,3,2,2,0,120,"Chose not to vote",1,5,"Democratic",4,8,0,100,10
"Female","Female","No","Big City Subrub","White","Jewish",5,5,"Yes",25,3.4,1,1,0,0,6,5,4,5,60,"Not eligible to vote",0,3,"Democratic",5,7,0,100,1
"Male","Male","No","Medium City","White","Christian",7,4,"Yes",29,3.6,4,8,2,1,2,1,3,7,104,"Hillary Clinton",0,3,"Democratic",3,8,0,100,6
"Female","Female","Yes","Medium City","East Asian","Atheist",0,7,"Yes",28,3.9,1,0,0,3,2,5,10,7,30,"Not eligible to vote",5,5,"Other",4,8,5,100,3
"Male","Male","No","Small Town","South Asian","Hindu",7,8,"Yes",33,3.3,3,2,1,0,6,4,3,10,500,"Hillary Clinton",5,5,"Democratic",3,10,0,100,10
"Female","Female","No","Small Town","White","Christian",3,7,"No",31,2.5,0,0,30,6,2,10,3,2,75,"Hillary Clinton",0,2,"Democratic",4,9,40,0,6
"Female","Female","No","Big City","East Asian","Atheist",0,8,"Yes",27,4,0,0,2,2,4,2,5,5,150,"Hillary Clinton",0,5,"Democratic",3,7,20,10,7
"Male","Male","No","Big City","East Asian","Buddhist",1,7,"Yes",25,3.8,0,0,1,1,1,3,0,10,100,"Hillary Clinton",0,0,"Other",3,8,20,100,0
"Female","Female","No","Small Town","White","Agnostic",1,5,"Yes",25,3.8,11,8,1,1,2,2,6,9,80,"Not eligible to vote",3,3,"Democratic",9,5,20,50,8
"Female","Female","No","Big City","Black","Christian",5,6,"Yes",18,3.8,8,4,2,0,28,5,6,5,100,"Hillary Clinton",0,5,"Democratic",5,8,10,0,10
"Female","Female","No","Medium City","White","Atheist",2,1,"Yes",34,3.9,2,1,1,1,3,4,4,5,90,"Not eligible to vote",0,1,"Democratic",5,5,0,30,7
"Male","Male","Yes","Big City Subrub","South Asian","Agnostic",5,2,"No",26,3.5,14,10,1,0,1,10,10,1,100,"Gary Johnson",5,6,"Republican",1,6,15,100,10
"Female","Female","No","Big City","East Asian","Atheist",0,8,"No",25,3.9,2,3,1,1,2,6,3,0,100,"Hillary Clinton",0,5,"Democratic",0,5,0,0,10
"Male","Male","Yes","Small Town","White","Christian",2,8,"Yes",35,4,12,20,1,0,20,1,10,5,300,"Not eligible to vote",3,5,"Independent",4,10,0,100,8
"Male","Male","No","Small Town","White","Agnostic",0,3,"No",24,3.9,3,0,2,1,1,2,2,5,70,"Hillary Clinton",0,3,"Democratic",8,10,40,0,4
"Female","Female","No","Small Town","White","Jewish",1,4,"Yes",30,4,10,0,0,2,2,6,4,4,100,"Hillary Clinton",0,2,"Democratic",6,6,0,90,6
"Female","Female","No","Medium City","East Asian","Atheist",1,7,"Yes",27,3.9,0,0,0,0,2,3,6,10,55,"Not eligible to vote",5,6,"Other",2,10,0,100,8
"Female","Female","Yes","Big City","East Asian","Buddhist",2,1,"Yes",27,3.1,4,8,8,2,5,5,3,5,1000,"Hillary Clinton",3,3,"Democratic",6,4,10,100,7
"Male","Male","No","Big City Subrub","White","Christian",5,4,"No",26,3.6,9,24,3,1,2,6,8,2,110,"Hillary Clinton",0,1,"Democratic",4,8,0,70,7
"Male","Male","No","Big City","Black","Christian",5,3,"No",16,4,0,0,1,2,4,6,2,10,200,"Hillary Clinton",0,3,"Democratic",8,7,0,0,5
"Male","Male","No","Big City","Hispanic","Christian",3,7,"Yes",26,2.4,1,1,8,2,7,2,3,5,80,"Hillary Clinton",0,8,"Democratic",5,7,0,0,2
"Female","Female","No","Big City Subrub","White","Jewish",7,5,"Yes",30,3.5,5,7,2,3,20,5,10,7,100,"Donald Trump",3,4,"Democratic",2,10,0,100,7
"Female","Female","No","Medium City","East Asian","Christian",5,1,"No",31,4,1,1,0,0,2,3,7,2,50,"Not eligible to vote",0,5,"Democratic",6,8,0,100,6
"Female","Female","No","Big City Subrub","East Asian","Agnostic",3,8,"Yes",35,4,0,0,0,0,1,5,3,4,90,"Not eligible to vote",0,2,"Democratic",3,9,0,100,1
"Female","Female","No","Big City Subrub","White","Jewish",7,0,"No",29,3.5,0,0,0,0,14,4,3,5,100,"Hillary Clinton",0,3,"Democratic",3,8,0,60,0
